filename,layer_file,source,geometry_type,crs,records,relevant_columns,missing_values,observed_or_synthetic,model_role,notes
AreasVerdes.zip,PparquesWgs84.shp,Repository Datos folder / IMIP-style GIS layer,"MultiPolygon, Polygon",EPSG:32613,6005,"OBJECTID, ID, NOMBRE, DIRECCION, CLASIFICAC, TIPO, geometry",7360,observed,"Potential environmental/land-use context","Loaded by current script but not used as an explicit optimization constraint."
Colonias.zip,ColoniasWgs84.shp,Repository Datos folder / IMIP-style GIS layer,"MultiPolygon, Polygon",EPSG:32613,1152,"OBJECTID, ID_COLO, NOMBRE, TIPO, ETIQUETA, geometry",95,observed,"Residential/accessibility proxy","Current script uses colonia centroids as a worker commute proxy."
denue_08_csv.zip,conjunto_de_datos/denue_inegi_08_.csv,INEGI DENUE CSV,tabular,not declared in CSV,142295,"id, clee, nom_estab, codigo_act, nombre_act, per_ocu, vialidad/address fields",9748 in first 1000 rows,observed,"Potential utility/business registry source","Current script does not parse it for CFE/JMAS nodes."
denue_08_shp.zip,conjunto_de_datos/denue_inegi_08_.shp,INEGI DENUE SHP,Point,WGS84 geographic degrees,142295,"id, clee, nom_estab, codigo_act, nombre_act, per_ocu, geometry",1482079,observed,"Potential point registry source","Requires reprojection to EPSG:32613 before metric distances."
Hidrantes.zip,hidrantesWgs84.shp,Repository Datos folder / utility point layer,Point,EPSG:32613,2369,"ID, Estacion, Cruce, REPORTE, ESTADO_ACT, OBSERVACIO, geometry",1311,observed,"Potential water/fire utility proxy","Current script does not load this layer."
Preescolares.zip,Preescolar_2023-2024.shp,Repository Datos folder / school point layer,Point,EPSG:32613,410,"OBJECTID, TIPO, CLAVE, NOMBRE, DIRECCION, Turno, TALUMNOS, geometry",0,observed,"Potential population/accessibility proxy","Current script does not load this layer."
Traza.zip,Traza_Wgs84.shp,Repository Datos folder / urban block layer,"MultiPolygon, Polygon",EPSG:32613,33668,"OBJECTID, EntID, RM, Shape_STAr, Shape_STLe, geometry",0,observed,"Potential parcel/block geometry","Current script loads it but generates candidate plots from road nodes, not parcel polygons."
Vialidad.zip,VialidadWgs84.shp,Repository Datos folder / road network layer,"LineString, MultiLineString",EPSG:32613,84527,"NOMBRE, ID, LENGTH, V_PPAL, T_VIAL2, T_VIAL3, geometry",221844,observed,"Road graph construction","Current script filters V_PPAL == 'SI' and builds an undirected graph."
synthetic_candidate_plots,simulate_siting.py generated objects,Generated in code,Point snapped to road graph,EPSG:32613,50,"id, coords, zone, price, water_stress, fault_hazard, flood_hazard",0,synthetic,"Candidate parcels","Not observed vacant industrial parcels; generated as 10 road nodes per planning zone."
synthetic_cfe_substations,simulate_siting.py generated objects,Generated in code,Point snapped to road graph,EPSG:32613,5,"zone, coords, capacity",0,synthetic assumption,"Electrical capacity constraint","One generated substation per zone with 5000 kVA capacity."
synthetic_jmas_outlets,simulate_siting.py generated objects,Generated in code,Point snapped to road graph,EPSG:32613,5,"zone, coords",0,synthetic assumption,"Sewer extension distance","Generated near zone centers, not observed JMAS collectors."
synthetic_hazards,simulate_siting.py generated functions,Generated in code,derived point indicators,EPSG:32613,50,"fault_hazard, flood_hazard, water_stress",0,synthetic assumption,"Environmental/water constraints","Fault line, flood basins, and water stress are hardcoded proxies."
synthetic_traffic_factors,simulate_siting.py bridge factors,Generated in code,scalar coefficients,n/a,3,"bridge, factor",0,synthetic assumption,"Dynamic travel-time multiplier","Not learned by STGNN; no temporal traffic data found in repository."
